id,created_at,resolved_at,minutes,impact,status,name,components,updates,url,evidence
nf39psbpf18l,2026-04-14T15:15:00,2026-04-14T15:40:00,25,maintenance,resolved,[Scheduled] Scheduled maintenance for Braze CDI,,,https://braze.statuspage.io/incidents/nf39psbpf18l,company-own (operational)
1ry2m6gddhx7,2026-04-13T14:15:00,2026-04-13T14:40:00,25,maintenance,resolved,[Scheduled] Scheduled maintenance for Braze CDI,,,https://braze.statuspage.io/incidents/1ry2m6gddhx7,company-own (operational)
r94vq8sh1jbm,2026-04-08T15:05:15,2026-04-08T17:49:12,164,major,resolved,Delays in Support Case Creation via Email,Braze Support Services,5,https://stspg.io/71r91z3jcssq,company-own (operational)
k9zy9x60f6g5,2026-04-06T17:00:00,2026-04-06T17:00:00,0,none,resolved,US01 SDK errors,,1,https://stspg.io/gtvc3yxf3vc4,company-own (operational)
l750zstxqlz2,2026-03-24T13:45:34,2026-03-24T13:58:56,13,minor,resolved,EU02 customer unsubscribe errors,Email,3,https://stspg.io/f3284wvrr93h,company-own (operational)
d7d7d7jxnhs7,2026-03-20T14:25:12,2026-03-20T15:29:49,65,minor,resolved,US07 Dashboard latency and errors,Dashboard,3,https://stspg.io/w57ncfgz4sjk,company-own (operational)
2g71jlh6rzmz,2026-03-17T16:49:19,2026-03-17T17:04:30,15,major,resolved,US05 Dashboard latency,Dashboard,3,https://stspg.io/7jbbhq8z8c1z,company-own (operational)
2t0vhpd1tjtq,2026-02-24T14:34:45,2026-02-24T15:00:13,25,minor,resolved,Outbound email latency for non-EU Bird (Sparkpost) customers,Email,3,https://stspg.io/k96nwrlfpd8h,company-own (operational)
y2wcd3t4856v,2026-02-18T07:07:25,2026-02-18T14:22:27,435,minor,resolved,EU01 & EU02 Dashboard Errors,Dashboard|Dashboard,6,https://stspg.io/kwpjlqflvfy1,company-own (operational)
8h9jjpn799vn,2026-02-03T10:41:17,2026-02-03T11:02:32,21,critical,resolved,US02 Dashboard and SDK increased errors,Dashboard|SDK Data Collection,3,https://stspg.io/17k8q4nlfr8n,company-own (operational)
qp3dq7pgqfmx,2026-01-24T13:27:28,2026-01-24T20:59:04,452,none,resolved,Gmail consumers experiencing banners indicating missing spam checks,Email,2,https://stspg.io/f9m7mwkm5wvg,company-own (operational)
5x31z2wykxz2,2026-01-22T19:47:49,2026-01-22T22:42:22,175,minor,resolved,Email delivery issues,Email,4,https://stspg.io/zhbs1ygpx298,company-own (operational)
gz1ltyvf558y,2026-01-13T16:00:00,2026-01-13T16:00:00,0,none,resolved,SMS outbound sending delays,,1,https://stspg.io/f1jf2p267tlt,company-own (operational)
19bm1v6gngbk,2026-01-06T10:41:46,2026-01-06T11:29:41,48,critical,resolved,US05 Dashboard Errors,Dashboard,3,https://stspg.io/33gxhw94w4z8,company-own (operational)
hhntcjbjmh21,2025-11-24T06:26:33,2025-11-24T07:09:57,43,major,resolved,EU01 REST API and SDK Data Collection Errors,SDK Data Collection|REST APIs,3,https://stspg.io/21qjklfj7k0v,company-own (operational)
4hft05t1403n,2025-11-18T19:34:16,2025-11-18T20:33:58,60,major,resolved,US01 and US03 Dashboard and SDK Errors,Dashboard|SDK Data Collection|SDK Data Collection|Data Processing,3,https://stspg.io/l667vrhsln88,company-own (operational)
rws5trsng255,2025-11-18T17:24:27,2025-11-18T17:35:40,11,none,resolved,US02 Dashboard and SDK Errors,Dashboard|SDK Data Collection,2,https://stspg.io/6pfx2jh9s33s,company-own (operational)
r5kw51f45hkz,2025-11-04T16:00:00,2025-11-04T16:00:00,0,none,resolved,EU02 Dashboard errors,,1,https://stspg.io/l09lqbc7ds6z,company-own (operational)
9q46v63b8j41,2025-10-22T19:19:47,2025-10-22T19:48:14,28,minor,resolved,Increased latency in Outbound Messaging for all clusters,Email|Push Notifications - iOS|Push Notifications - Android,2,https://stspg.io/4tgdzc5np1m9,company-own (operational)
r0kkkj9pvd81,2025-10-20T05:52:19,2025-10-20T19:41:24,829,major,resolved,AWS US East 1 outage,Dashboard|Dashboard|Dashboard|Dashboard|Dashboard|Dashboard|Dashboard|Dashboard|Dashboard|Dashboard|Dashboard|Dashboard|Dashboard|SDK Data Collection|SDK Data Collection|SDK Data Collection|SDK Data Collection|SDK Data Collection|SMS|Data Processing|Data Processing|Data Processing|Data Processing|Data Processing|Data Processing|Outbound Messaging|Outbound Messaging|Outbound Messaging|Outbound Messaging|Outbound Messaging|Outbound Messaging,21,https://stspg.io/yfn60mx7l8f7,company-own (operational)
16x8458h312v,2025-10-08T06:00:00,2025-10-08T06:00:00,0,none,resolved,"US-10 Dashboard Outage - October 8, 2025",,1,https://stspg.io/qcxhxbzrmz74,company-own (operational)
x07cjrytzn7x,2025-09-09T15:07:04,2025-09-09T15:30:51,24,minor,resolved,Increased error rates for REST and SDK services across US clusters,SDK Data Collection|SDK Data Collection|SDK Data Collection|SDK Data Collection|SDK Data Collection|SDK Data Collection|SDK Data Collection|SDK Data Collection|SDK Data Collection|REST APIs|REST APIs|REST APIs|REST APIs|REST APIs|REST APIs|REST APIs|REST APIs|REST APIs,3,https://stspg.io/61j68xxmzkwy,company-own (operational)
zxqh3s4y0w9n,2025-09-05T13:54:30,2025-09-05T14:01:21,7,minor,resolved,Degraded performance for Dashboard and Time Series data in US05,Dashboard,2,https://stspg.io/bfd6jk7xvcxr,company-own (operational)
zptvh1q7dpx5,2025-09-02T13:20:10,2025-09-02T13:45:53,26,major,resolved,Issue impacting US01 and US05 clusters,Dashboard|Dashboard|SDK Data Collection|SDK Data Collection|Data Processing|Data Processing|REST APIs|REST APIs|Outbound Messaging|Outbound Messaging|Currents|Currents|Cloud Data-Ingestion (CDI)|Cloud Data-Ingestion (CDI),3,https://stspg.io/942ql55f50s4,company-own (operational)
ff0h4mbx8wtr,2025-08-28T15:06:06,2025-08-28T18:58:01,232,minor,resolved,SMS Delivery Delays and Failures to and from Multiple Networks in US for a Subset of Short Codes,SMS,4,https://stspg.io/q61kj3v0vwsl,company-own (operational)
9tcq7g6zqlwp,2025-08-21T15:15:59,2025-08-21T16:05:07,49,minor,resolved,Issue impacting US clusters,Dashboard|Dashboard|Dashboard|SDK Data Collection|SDK Data Collection|SDK Data Collection|SDK Data Collection|SDK Data Collection|SDK Data Collection|SDK Data Collection|SDK Data Collection|SDK Data Collection|REST APIs|REST APIs|REST APIs|REST APIs|REST APIs|REST APIs|REST APIs|REST APIs|REST APIs,6,https://stspg.io/5wwvhtrbdkj8,company-own (operational)
mnwfhkx03hw1,2025-08-19T10:00:23,2025-08-19T11:41:48,101,major,resolved,Issue impacting US06 AND EU02 services,Dashboard|Dashboard|SDK Data Collection|SDK Data Collection|REST APIs|REST APIs,5,https://stspg.io/35dg76x015g0,company-own (operational)
b8rknpsd75z3,2025-07-30T10:49:09,2025-07-30T11:19:42,31,minor,resolved,Degraded performance in Outbound Messaging and Data Processing on EU01,Data Processing|Outbound Messaging,3,https://stspg.io/y3szzsv8kdtn,company-own (operational)
lgwk7223nq84,2025-07-17T16:22:23,2025-07-17T17:12:33,50,major,resolved,Link-shortening issue impacting all regions,SMS|WhatsApp,4,https://stspg.io/cpy80cpk6lkf,company-own (operational)
xkdmtp1mfnb3,2025-07-11T03:43:50,2025-07-11T04:19:45,36,minor,resolved,Data Processing and Messaging Sending latency impacting US01,Data Processing|Outbound Messaging,3,https://stspg.io/fnht9jtmnqcg,company-own (operational)
hskhg93c87yt,2025-06-12T15:01:47,2025-06-12T17:30:05,148,major,resolved,Widespread Internet Issue,Dashboard|Dashboard|Dashboard|Dashboard|Dashboard|Dashboard|Dashboard|Dashboard|Dashboard|Dashboard|SDK Data Collection|SDK Data Collection|SDK Data Collection|SDK Data Collection|SDK Data Collection|SDK Data Collection|SDK Data Collection|SDK Data Collection|SDK Data Collection|SDK Data Collection|Data Processing|Data Processing|Data Processing|Data Processing|Data Processing|Data Processing|Data Processing|Data Processing|Data Processing|Data Processing|REST APIs|REST APIs|REST APIs|REST APIs|REST APIs|REST APIs|REST APIs|REST APIs|REST APIs|Outbound Messaging|Outbound Messaging|Outbound Messaging|REST APIs|Outbound Messaging|Outbound Messaging|Outbound Messaging|Outbound Messaging|Outbound Messaging|Outbound Messaging|Outbound Messaging|Push Notifications - Android,10,https://stspg.io/hlxryqm1b7j2,company-own (operational)
mhxttw26ldcj,2025-05-21T11:30:00,2025-05-21T11:30:00,0,minor,resolved,Increased errors impacting US01,,1,https://stspg.io/3qrfp8q6y6dk,company-own (operational)
bzyz62ds3dg3,2025-04-23T18:09:56,2025-04-23T19:14:38,65,minor,resolved,Email latency due to Sendgrid issue,Email,3,https://stspg.io/srvk1171h88c,company-own (operational)
mfyxg7m3qf8h,2025-04-15T18:45:05,2025-04-16T12:23:09,1058,none,resolved,Issue impacting Canvases with Exit Criteria,Email|SMS|In-App Messaging|WhatsApp|Push Notifications - iOS|Push Notifications - Android|Content Cards,3,https://stspg.io/n6n434rnmgd1,company-own (operational)
y23rynwl8j9m,2025-04-03T13:12:49,2025-04-03T14:12:49,60,minor,resolved,Issue impacting US01 Services,Dashboard|SDK Data Collection|Data Processing|REST APIs|Outbound Messaging|Currents|Cloud Data-Ingestion (CDI),4,https://stspg.io/cg1tt5wmksg2,company-own (operational)
60ls7gfz5521,2025-03-19T14:53:38,2025-03-19T17:49:51,176,minor,resolved,"Third-party Snowflake issue impacting CDI, Currents and Dashboard",Dashboard|Dashboard|Dashboard|Dashboard|Dashboard|Dashboard|Dashboard|Dashboard|Currents|Currents|Currents|Currents|Currents|Currents|Currents|Currents|Cloud Data-Ingestion (CDI)|Cloud Data-Ingestion (CDI)|Cloud Data-Ingestion (CDI)|Cloud Data-Ingestion (CDI)|Cloud Data-Ingestion (CDI)|Cloud Data-Ingestion (CDI)|Cloud Data-Ingestion (CDI)|Cloud Data-Ingestion (CDI),2,https://stspg.io/fzd6b6p92q84,company-own (operational)
tck1bkzpnlq6,2025-03-10T11:10:03,2025-03-10T13:31:16,141,minor,resolved,Issues accessing Drag & Drop editor,Dashboard|Dashboard|Dashboard|Dashboard|Dashboard|Dashboard|Dashboard|Dashboard|Dashboard|Dashboard|Dashboard,3,https://stspg.io/261027l5crgn,company-own (operational)
3h7bgml72yd0,2025-03-10T00:27:45,2025-03-10T18:21:39,1074,major,resolved,Currents and CDI latency impacting EU-01 and EU-02,Outbound Messaging|Outbound Messaging|Currents|Currents|Cloud Data-Ingestion (CDI)|Cloud Data-Ingestion (CDI),12,https://stspg.io/83jp3ggw33lr,company-own (operational)
yzch3vk9dycp,2025-01-30T20:13:34,2025-01-30T21:58:13,105,major,resolved,Email Event processing latency,Email,3,https://stspg.io/1ccq684fm6f3,company-own (operational)
czxy8kvblxwt,2025-01-28T08:31:12,2025-01-28T09:08:44,38,critical,resolved,Braze Support Incident,Braze Support Services,3,https://stspg.io/11g30sl7tpnp,company-own (operational)
s6jqdv39qm5f,2025-01-28T08:26:07,2025-01-28T09:02:30,36,critical,resolved,EU-02 SDK Outage,SDK Data Collection,3,https://stspg.io/378qrs18t34p,company-own (operational)
hvjw3hg9r5bl,2024-12-13T14:26:00,2024-12-13T17:56:00,210,minor,resolved,SparkPost Incident Affecting EU Region,,,https://braze.statuspage.io/incidents/hvjw3hg9r5bl,company-own (operational)
ty95vz063r5s,2024-12-11T13:38:00,2024-12-11T20:14:00,396,critical,resolved,Issues with Meta services,,,https://braze.statuspage.io/incidents/ty95vz063r5s,company-own (operational)
g72wlp9g5bh5,2024-11-29T04:50:00,2024-11-29T08:17:00,207,minor,resolved,SparkPost email delivery latency in EU region,,,https://braze.statuspage.io/incidents/g72wlp9g5bh5,company-own (operational)
dt010b9vtgdt,2024-11-22T14:48:00,2024-11-22T02:53:00,725,minor,resolved,Email links for SparkPost customers serving 502s due to SparkPost incident,,,https://braze.statuspage.io/incidents/dt010b9vtgdt,company-own (operational)
0v0swy36xs27,2024-11-22T13:16:00,2024-11-22T16:48:00,212,minor,resolved,Email links for SparkPost customers serving 502s due to SparkPost incident,,,https://braze.statuspage.io/incidents/0v0swy36xs27,company-own (operational)
p9v95m0mlwjq,2024-11-22T08:00:00,2024-11-22T08:20:00,20,maintenance,resolved,[Scheduled] EU network maintenance,,,https://braze.statuspage.io/incidents/p9v95m0mlwjq,company-own (operational)
9r7dz71dwbr8,2024-11-20T17:38:00,2024-11-20T22:20:00,282,minor,resolved,Email links for SparkPost customers serving 502s due to SparkPost incident,,,https://braze.statuspage.io/incidents/9r7dz71dwbr8,company-own (operational)
41d7rpchc9yf,2024-11-20T17:00:00,2024-11-20T18:00:00,60,maintenance,resolved,[Scheduled] EU-01 Dashboard maintenance,,,https://braze.statuspage.io/incidents/41d7rpchc9yf,company-own (operational)
wsnd7c6lj0qn,2024-11-05T12:00:00,2024-11-05T15:19:00,199,major,resolved,Email links for SparkPost customers serving 502s due to SparkPost incident,,,https://braze.statuspage.io/incidents/wsnd7c6lj0qn,company-own (operational)
z2922rd95s0g,2024-10-24T12:00:00,2024-10-24T18:00:00,360,maintenance,resolved,[Scheduled] Continued Migration to Cloudflare CDN - US-01 Cluster,,,https://braze.statuspage.io/incidents/z2922rd95s0g,company-own (operational)
v06g4rdq73lp,2024-10-22T12:00:00,2024-10-22T18:00:00,360,maintenance,resolved,[Scheduled] Continued Migration to Cloudflare CDN - US-03 Cluster,,,https://braze.statuspage.io/incidents/v06g4rdq73lp,company-own (operational)
xbb1rzn4v97r,2024-10-19T14:10:00,2024-10-19T10:32:00,1222,none,resolved,Google Firebase incident causing Android Push Notification errors,,,https://braze.statuspage.io/incidents/xbb1rzn4v97r,company-own (operational)
fxp1cl0gc42m,2024-10-17T14:00:00,2024-10-17T18:00:00,240,maintenance,resolved,[Scheduled] Continued Migration to Cloudflare CDN - EU-01 Cluster,,,https://braze.statuspage.io/incidents/fxp1cl0gc42m,company-own (operational)
4x7vk9qdzhc2,2024-10-15T11:03:00,2024-10-15T14:16:00,193,major,resolved,Sparkpost issue Impacting Email Message Sending,,,https://braze.statuspage.io/incidents/4x7vk9qdzhc2,company-own (operational)
zcgj6ymftv92,2024-10-14T14:16:00,2024-10-14T14:27:00,11,minor,resolved,Issues with Meta services,,,https://braze.statuspage.io/incidents/zcgj6ymftv92,company-own (operational)
6zwh4w1hjqkw,2024-09-30T10:04:00,2024-09-30T17:24:00,440,major,resolved,Network issues in US clusters,,,https://braze.statuspage.io/incidents/6zwh4w1hjqkw,company-own (operational)
zq8vdl4th7l7,2024-09-01T19:54:00,2024-09-01T20:15:00,21,minor,resolved,Latency and API Errors in US 01,,,https://braze.statuspage.io/incidents/zq8vdl4th7l7,company-own (operational)
3rylskxm3hn7,2024-08-27T15:32:00,2024-08-27T16:36:00,64,major,resolved,Issue impacting EU-01 SDK,,,https://braze.statuspage.io/incidents/3rylskxm3hn7,company-own (operational)
3nghn6g06p7z,2024-08-20T10:00:00,2024-08-20T10:00:00,0,none,resolved,Elevated Dashboard Login Errors EU01,,,https://braze.statuspage.io/incidents/3nghn6g06p7z,company-own (operational)
tw8kg1v05501,2024-07-31T22:18:00,2024-07-31T00:00:00,102,critical,resolved,Braze Learning Unavailable,,,https://braze.statuspage.io/incidents/tw8kg1v05501,company-own (operational)
51gkypmlvpr2,2024-07-12T10:42:00,2024-07-12T12:39:00,117,minor,resolved,Messaging and Data Processing latency,,,https://braze.statuspage.io/incidents/51gkypmlvpr2,company-own (operational)
zfyp7vyk1rgf,2024-06-19T09:53:00,2024-06-19T15:04:00,311,major,resolved,Issues creating cases via the Braze Support Portal,,,https://braze.statuspage.io/incidents/zfyp7vyk1rgf,company-own (operational)
yh58pjjt59by,2024-06-03T16:29:00,2024-06-03T17:08:00,39,minor,resolved,EU01 and EU02 Elavated Errors and Latency,,,https://braze.statuspage.io/incidents/yh58pjjt59by,company-own (operational)
l3xf93jsqnfy,2024-05-22T13:31:00,2024-05-22T14:51:00,80,minor,resolved,Elevated REST API error rates in US06,,,https://braze.statuspage.io/incidents/l3xf93jsqnfy,company-own (operational)
sq10pzj16rgs,2024-05-16T01:00:00,2024-05-16T06:00:00,300,maintenance,resolved,[Scheduled] US Region Network Maintenance,,,https://braze.statuspage.io/incidents/sq10pzj16rgs,company-own (operational)
fg2njzb5k44l,2024-04-29T05:41:00,2024-04-29T23:56:00,1095,critical,resolved,Issue impacting US clusters,,,https://braze.statuspage.io/incidents/fg2njzb5k44l,company-own (operational)
8qdxdtwphyyb,2024-04-26T05:47:00,2024-04-26T06:52:00,65,critical,resolved,Elevated errors on EU01 Dashboard and SDK data collection,,,https://braze.statuspage.io/incidents/8qdxdtwphyyb,company-own (operational)
f3fc963mm186,2024-04-25T17:26:00,2024-04-25T17:52:00,26,major,resolved,REST and Dashboard Increased Errors in EU02,,,https://braze.statuspage.io/incidents/f3fc963mm186,company-own (operational)
pgdbb5wkxmrf,2024-04-24T14:45:00,2024-04-24T17:27:00,162,minor,resolved,Latency affecting Currents,,,https://braze.statuspage.io/incidents/pgdbb5wkxmrf,company-own (operational)
8bwt0thv9byg,2024-04-23T11:46:00,2024-04-23T19:09:00,443,major,resolved,Issue impacting Braze Dashboard for users in South Asia,,,https://braze.statuspage.io/incidents/8bwt0thv9byg,company-own (operational)
qrt60jxvrgb9,2024-04-03T15:45:00,2024-04-03T17:28:00,103,minor,resolved,Meta incident impacting WhatsApp Message Sending,,,https://braze.statuspage.io/incidents/qrt60jxvrgb9,company-own (operational)
wgfchpm0yvh2,2024-03-26T16:46:00,2024-03-26T19:35:00,169,minor,resolved,Messaging Latency Impacting US Clusters,,,https://braze.statuspage.io/incidents/wgfchpm0yvh2,company-own (operational)
k5nf3c6lc31z,2024-03-21T12:01:00,2024-03-21T13:54:00,113,minor,resolved,Elevated Messaging Latency Impacting US Clusters,,,https://braze.statuspage.io/incidents/k5nf3c6lc31z,company-own (operational)
c4mj0nnxv2h1,2024-03-19T13:01:00,2024-03-19T13:33:00,32,minor,resolved,Transactional messaging errors and latency impacting US Clusters,,,https://braze.statuspage.io/incidents/c4mj0nnxv2h1,company-own (operational)
lhlr18kcvwsx,2024-03-05T12:02:00,2024-03-05T15:26:00,204,minor,resolved,Meta Incident Impacting WhatsApp & Facebook Audience Sync,,,https://braze.statuspage.io/incidents/lhlr18kcvwsx,company-own (operational)
ml3hy4lf5z35,2024-02-24T12:26:00,2024-02-24T14:40:00,134,minor,resolved,Issue impacting SparkPost email open and click metrics across US clusters,,,https://braze.statuspage.io/incidents/ml3hy4lf5z35,company-own (operational)
vj0ph1rhkcc7,2024-02-21T11:10:00,2024-02-21T12:09:00,59,minor,resolved,US-03 Messaging and Data Processing Latency,,,https://braze.statuspage.io/incidents/vj0ph1rhkcc7,company-own (operational)
f81p9hh61zx3,2024-02-19T09:06:00,2024-02-19T09:50:00,44,major,resolved,Latency and Errors impacting US03,,,https://braze.statuspage.io/incidents/f81p9hh61zx3,company-own (operational)
fd473dmzq32j,2024-02-07T13:42:00,2024-02-07T14:45:00,63,minor,resolved,Latency Affecting iOS Push,,,https://braze.statuspage.io/incidents/fd473dmzq32j,company-own (operational)
vnrzhcnk9yh3,2024-01-30T16:29:00,2024-01-30T18:18:00,109,minor,resolved,"Latency Affecting US01, US03 and US05 Clusters",,,https://braze.statuspage.io/incidents/vnrzhcnk9yh3,company-own (operational)
qm8t6cfnkkvf,2024-01-24T14:14:00,2024-01-24T14:29:00,15,minor,resolved,Latency Affecting Android Push,,,https://braze.statuspage.io/incidents/qm8t6cfnkkvf,company-own (operational)
73vvmpcyhl3k,2024-01-19T11:16:00,2024-01-19T15:17:00,241,minor,resolved,Data Processing and Message Sending latency across multiple clusters,,,https://braze.statuspage.io/incidents/73vvmpcyhl3k,company-own (operational)
m8zxqnjctqf4,2024-01-13T20:14:00,2024-01-13T23:59:00,225,minor,resolved,Database issue impacting a subset of customers across clusters,,,https://braze.statuspage.io/incidents/m8zxqnjctqf4,company-own (operational)
fjvd14h6sqht,2023-12-19T12:30:00,2023-12-19T12:30:00,0,none,resolved,Android Push Notification Latency,,,https://braze.statuspage.io/incidents/fjvd14h6sqht,company-own (operational)
6x3qjmsyj23f,2023-12-15T12:36:00,2023-12-15T13:24:00,48,major,resolved,Increased REST Errors,,,https://braze.statuspage.io/incidents/6x3qjmsyj23f,company-own (operational)
bm884kg7flq8,2023-12-11T07:00:00,2023-12-11T11:01:00,241,maintenance,resolved,[Scheduled] Braze Support Portal Maintenance,,,https://braze.statuspage.io/incidents/bm884kg7flq8,company-own (operational)
zxjlpw7ydf73,2023-12-03T03:57:00,2023-12-03T06:13:00,136,critical,resolved,Delayed Support Services,,,https://braze.statuspage.io/incidents/zxjlpw7ydf73,company-own (operational)
08kc6n5np8yp,2023-12-01T20:01:00,2023-12-01T21:23:00,82,minor,resolved,US 05 Message Sending & Data Processing Latency for Some Customers,,,https://braze.statuspage.io/incidents/08kc6n5np8yp,company-own (operational)
mbprldpfs2c6,2023-11-29T14:21:00,2023-11-29T14:39:00,18,minor,resolved,US05 Message Sending Latency,,,https://braze.statuspage.io/incidents/mbprldpfs2c6,company-own (operational)
7g3hhw39wzlc,2023-11-27T20:30:00,2023-11-27T23:49:00,199,minor,resolved,US05 SDK and Messaging Latency,,,https://braze.statuspage.io/incidents/7g3hhw39wzlc,company-own (operational)
dz2t0dtdpfp5,2023-11-17T14:30:00,2023-11-17T14:30:00,0,none,resolved,Increased US01 SDK API errors,,,https://braze.statuspage.io/incidents/dz2t0dtdpfp5,company-own (operational)
jz521ltnfyd7,2023-11-13T20:26:00,2023-11-13T22:03:00,97,minor,resolved,Increased latency in Data Processing (US05 US06),,,https://braze.statuspage.io/incidents/jz521ltnfyd7,company-own (operational)
wcpkgd43b7sx,2023-11-03T13:49:00,2023-11-03T15:11:00,82,minor,resolved,Data Processing and Outbound Messaging Latency for US01,,,https://braze.statuspage.io/incidents/wcpkgd43b7sx,company-own (operational)
zgv1h9v359px,2023-10-30T16:37:00,2023-10-30T16:37:00,0,major,resolved,Increased SDK and REST API errors on US02,,,https://braze.statuspage.io/incidents/zgv1h9v359px,company-own (operational)
l2q9gt1b6d4m,2023-10-19T13:35:00,2023-10-19T16:46:00,191,minor,resolved,"US01 SDK, Messaging and Data Processing Latency",,,https://braze.statuspage.io/incidents/l2q9gt1b6d4m,company-own (operational)
h9pq5dqrdz4j,2023-10-18T13:11:00,2023-10-18T14:35:00,84,minor,resolved,Dashboard Campaign List Timeouts,,,https://braze.statuspage.io/incidents/h9pq5dqrdz4j,company-own (operational)
msgmmlnzjl2v,2023-10-16T13:30:00,2023-10-16T15:23:00,113,minor,resolved,Dashboard Timeouts,,,https://braze.statuspage.io/incidents/msgmmlnzjl2v,company-own (operational)
31ypfjcc73py,2023-09-28T15:42:00,2023-09-28T15:42:00,0,none,resolved,Elevated SDK errors and latency impacting US-01 cluster,,,https://braze.statuspage.io/incidents/31ypfjcc73py,company-own (operational)
tcp9wj36djlc,2023-09-22T10:02:00,2023-09-22T10:02:00,0,none,resolved,Errors and latency impacting multiple services,,,https://braze.statuspage.io/incidents/tcp9wj36djlc,company-own (operational)
g6y6k3tbj4hv,2023-09-14T03:14:00,2023-09-14T04:36:00,82,major,resolved,Increased errors and latency for US 04 SDK Collection,,,https://braze.statuspage.io/incidents/g6y6k3tbj4hv,company-own (operational)
