date,kind,event,source_file,evidence
2017-09-12,incident,incident (critical): Platform Outage - US-02 Cluster,incidents.csv,company-own (operational)
2017-09-14,incident,incident (major): Investigating database issues affecting US 01,incidents.csv,company-own (operational)
2017-09-22,incident,incident (minor): Delayed data processing for some customers,incidents.csv,company-own (operational)
2017-09-29,incident,incident (minor): Delayed data processing and message sending for some customers,incidents.csv,company-own (operational)
2017-10-03,incident,incident (minor): Delayed data processing for some customers,incidents.csv,company-own (operational)
2017-10-09,incident,incident (minor): We are investigating connectivity issues to the US 01 dashboard,incidents.csv,company-own (operational)
2017-10-14,incident,incident (minor): EU-01 - Delayed Data Process and Message Sending,incidents.csv,company-own (operational)
2017-11-05,incident,incident (maintenance): [Scheduled] Scheduled maintenance 11/05 at 8pm ET for US 01 - no service interruption expected,incidents.csv,company-own (operational)
2017-11-10,incident,incident (none): iOS Push Sending Delayed,incidents.csv,company-own (operational)
2017-11-11,incident,incident (minor): Delayed data processing on US 01 cluster,incidents.csv,company-own (operational)
2017-11-14,incident,incident (minor): Delayed processing for EU cluster,incidents.csv,company-own (operational)
2017-11-16,incident,"incident (maintenance): [Scheduled] New Dashboard UI Launch & Braze Cutover on Thursday, November 16th",incidents.csv,company-own (operational)
2017-11-28,incident,incident (minor): Elevated error rates in API calls for US 03 environment,incidents.csv,company-own (operational)
2017-12-21,incident,incident (major): EU-01 - Elevated Errors,incidents.csv,company-own (operational)
2018-01-05,incident,"incident (minor): Monitoring impact of ""Meltdown"" related to Intel security vulnerability",incidents.csv,company-own (operational)
2018-01-11,release,braze-xamarin-sdk 1.5,sdk_releases.csv,company-own (technical)
2018-01-25,incident,incident (minor): EU 01 - Database Slowness,incidents.csv,company-own (operational)
2018-03-09,incident,incident (minor): Increased error rates for EU 01 REST API,incidents.csv,company-own (operational)
2018-03-09,release,braze-react-native-sdk 1.5.2,sdk_releases.csv,company-own (technical)
2018-03-13,incident,incident (minor): Delays sending Android push in EU 01 environment,incidents.csv,company-own (operational)
2018-03-26,incident,incident (major): Data Collection Issues,incidents.csv,company-own (operational)
2018-03-28,incident,incident (none): Currents export delayed for US clusters,incidents.csv,company-own (operational)
2018-03-29,incident,incident (minor): US 01 degraded performance,incidents.csv,company-own (operational)
2018-03-30,incident,incident (minor): Data processing delays on US clusters,incidents.csv,company-own (operational)
2018-03-30,incident,incident (minor): US 01 degraded performance,incidents.csv,company-own (operational)
2018-04-05,incident,incident (minor): US 01 action-based campaign and canvas sending delays,incidents.csv,company-own (operational)
2018-04-06,incident,incident (none): US 03 degraded performance,incidents.csv,company-own (operational)
2018-04-06,release,braze-react-native-sdk 1.6.0,sdk_releases.csv,company-own (technical)
2018-04-21,release,braze-xamarin-sdk 1.5.1,sdk_releases.csv,company-own (technical)
2018-04-25,incident,incident (maintenance): [Scheduled] US Network Maintenance - No Impact Expected,incidents.csv,company-own (operational)
2018-05-04,incident,incident (minor): Currents Data Processing Delays,incidents.csv,company-own (operational)
2018-05-31,incident,incident (minor): Investigating increased error rates in US 03,incidents.csv,company-own (operational)
2018-06-08,incident,incident (maintenance): [Scheduled] US Network Maintenance - No Impact Expected,incidents.csv,company-own (operational)
2018-06-25,release,braze-react-native-sdk 1.7.0,sdk_releases.csv,company-own (technical)
2018-06-26,release,braze-react-native-sdk 1.7.1,sdk_releases.csv,company-own (technical)
2018-07-03,incident,incident (critical): Elevated error rates - US-04,incidents.csv,company-own (operational)
2018-07-06,release,braze-xamarin-sdk 1.5.2,sdk_releases.csv,company-own (technical)
2018-07-18,incident,incident (minor): EU 01 degraded performance,incidents.csv,company-own (operational)
2018-07-24,incident,incident (minor): EU 01 degraded data processing and message sending for some customers,incidents.csv,company-own (operational)
2018-08-03,incident,incident (minor): Data processing delays on US-01,incidents.csv,company-own (operational)
2018-08-13,release,braze-react-native-sdk 1.7.3,sdk_releases.csv,company-own (technical)
2018-08-13,release,braze-react-native-sdk 1.7.2,sdk_releases.csv,company-own (technical)
2018-08-20,incident,incident (minor): EU 01 connectivity issues,incidents.csv,company-own (operational)
2018-08-22,incident,incident (maintenance): [Scheduled] EU 01 cluster database maintenance,incidents.csv,company-own (operational)
2018-08-28,incident,incident (minor): Currents Delay in EU,incidents.csv,company-own (operational)
2018-08-28,release,braze-react-native-sdk 1.8.0,sdk_releases.csv,company-own (technical)
2018-08-29,incident,incident (major): US cluster connectivity issues,incidents.csv,company-own (operational)
2018-09-12,release,braze-react-native-sdk 1.8.1,sdk_releases.csv,company-own (technical)
2018-09-14,incident,incident (none): Currents Delay in US,incidents.csv,company-own (operational)
2018-09-17,incident,incident (minor): Investigating connectivity issues for some EU customers,incidents.csv,company-own (operational)
2018-10-02,incident,incident (minor): US Currents Delays for S3 connectors,incidents.csv,company-own (operational)
2018-10-04,filing,D filed (06b),filings.csv,statutory (SEC)
2018-10-10,incident,incident (maintenance): [Scheduled] EU 01 Currents Maintenance,incidents.csv,company-own (operational)
2018-10-11,incident,incident (minor): Investigating increased error rates on US 01,incidents.csv,company-own (operational)
2018-10-22,incident,incident (minor): Currents Delay in EU,incidents.csv,company-own (operational)
2018-10-24,incident,incident (minor): Dashboard Timeouts on US-04,incidents.csv,company-own (operational)
2018-10-30,incident,incident (major): US-01 Degraded Performance,incidents.csv,company-own (operational)
2018-11-06,incident,incident (minor): Delayed data processing and message sending on US01 Cluster,incidents.csv,company-own (operational)
2018-11-08,incident,incident (minor): Currents Delay in EU,incidents.csv,company-own (operational)
2018-11-08,incident,incident (critical): US-01 Data collection API Outage,incidents.csv,company-own (operational)
2018-11-12,incident,"incident (major): Investigating database issues on EU 01 causing dashboard errors, delayed data processing",incidents.csv,company-own (operational)
2018-11-28,incident,incident (minor): Data processing delays on US-01,incidents.csv,company-own (operational)
2018-12-02,incident,incident (minor): Data processing delays on US-01 for some customers,incidents.csv,company-own (operational)
2018-12-19,incident,incident (minor): US-06 Degraded Performance,incidents.csv,company-own (operational)
2019-01-04,release,braze-react-native-sdk 1.9.0,sdk_releases.csv,company-own (technical)
2019-01-10,incident,incident (minor): Investigating delayed data processing and message sending on US 03,incidents.csv,company-own (operational)
2019-01-10,incident,incident (minor): Delayed message sending and data processing on US 01,incidents.csv,company-own (operational)
2019-01-10,release,braze-xamarin-sdk 1.6.0,sdk_releases.csv,company-own (technical)
2019-01-22,incident,"incident (maintenance): [Scheduled] EU 01 maintenance on 1/23, 1/24, 1/25, and 1/28",incidents.csv,company-own (operational)
2019-01-23,incident,"incident (maintenance): [Scheduled] EU 01 maintenance on 1/23, 1/24, 1/25, and 1/28",incidents.csv,company-own (operational)
2019-01-28,incident,incident (minor): EU-01 Degraded Performance,incidents.csv,company-own (operational)
2019-01-29,incident,incident (none): Elevated error rates - US-01,incidents.csv,company-own (operational)
2019-01-31,financial,FY2019 as at 2019-01-31 reported,financials_annual.csv,audited (SEC XBRL)
2019-02-04,incident,"incident (maintenance): [Scheduled] EU 01 maintenance on 2/5, 2/6, 2/7",incidents.csv,company-own (operational)
2019-02-05,incident,incident (minor): US-01 Degraded Performance,incidents.csv,company-own (operational)
2019-02-07,incident,incident (minor): EU-01 Degraded Performance,incidents.csv,company-own (operational)
2019-02-13,release,braze-react-native-sdk 1.10.0,sdk_releases.csv,company-own (technical)
2019-02-22,incident,incident (none): Delayed Data Processing - US-01,incidents.csv,company-own (operational)
2019-02-28,incident,incident (minor): US-01 Degraded Performance,incidents.csv,company-own (operational)
2019-03-01,incident,incident (none): Connectivity issues to US 01,incidents.csv,company-own (operational)
2019-03-06,incident,incident (maintenance): [Scheduled] US data center network maintenance - no impact expected,incidents.csv,company-own (operational)
2019-03-18,incident,incident (critical): US-01 SDK Data Collection Outage,incidents.csv,company-own (operational)
2019-03-19,release,braze-react-native-sdk 1.11.0,sdk_releases.csv,company-own (technical)
2019-03-20,incident,incident (critical): Investigating dashboard timeouts on EU 01,incidents.csv,company-own (operational)
2019-03-26,incident,incident (maintenance): [Scheduled] EU hardware upgrade maintenance - no impact expected,incidents.csv,company-own (operational)
2019-03-28,release,braze-react-native-sdk 1.11.1,sdk_releases.csv,company-own (technical)
2019-04-03,incident,incident (none): Issues saving Canvases with control steps,incidents.csv,company-own (operational)
2019-04-03,release,braze-xamarin-sdk 1.7.0,sdk_releases.csv,company-own (technical)
2019-04-07,incident,incident (minor): Investigating network issue in US,incidents.csv,company-own (operational)
2019-04-12,incident,incident (minor): US-01 Degraded Performance,incidents.csv,company-own (operational)
2019-04-12,incident,incident (none): US-01 SDK Data Collection Outage,incidents.csv,company-own (operational)
2019-04-13,incident,incident (maintenance): [Scheduled] US data center network maintenance - no impact expected,incidents.csv,company-own (operational)
2019-04-13,incident,incident (minor): Delayed Message Sending and Data Processing on US01,incidents.csv,company-own (operational)
2019-04-13,incident,incident (minor): US-01 Dashboard Degraded,incidents.csv,company-own (operational)
2019-04-15,incident,incident (minor): Delayed data processing and message sending in US clusters,incidents.csv,company-own (operational)
2019-04-19,incident,incident (minor): EU 01 delayed message sending for a portion of action-based messaging,incidents.csv,company-own (operational)
2019-05-20,release,braze-xamarin-sdk 1.8.0,sdk_releases.csv,company-own (technical)
2019-05-20,release,braze-react-native-sdk 1.12.0,sdk_releases.csv,company-own (technical)
2019-06-11,release,braze-react-native-sdk 1.13.10,sdk_releases.csv,company-own (technical)
2019-06-18,incident,incident (minor): Slow message sending in US 01,incidents.csv,company-own (operational)
2019-06-20,incident,incident (minor): Sporadic availability and degraded processing / sending of messages on US-01,incidents.csv,company-own (operational)
2019-06-20,incident,incident (major): SDK outage in US-01. Data processing is slowed for mobile,incidents.csv,company-own (operational)
2019-07-02,release,braze-react-native-sdk 1.14.0,sdk_releases.csv,company-own (technical)
2019-07-09,incident,incident (critical): API outage on US 01,incidents.csv,company-own (operational)
2019-07-24,incident,incident (none): US 01 Content Card syncing delays,incidents.csv,company-own (operational)
2019-07-26,incident,incident (none): US 03 Content Card syncing delays,incidents.csv,company-own (operational)
2019-08-06,incident,incident (major): Increasing error rates for REST API in EU 01,incidents.csv,company-own (operational)
2019-08-07,incident,incident (none): Delayed email sending on US clusters - RESOLVED,incidents.csv,company-own (operational)
2019-08-13,incident,incident (major): Email analytics processing delays - US01,incidents.csv,company-own (operational)
2019-08-16,release,braze-react-native-sdk 1.15.0,sdk_releases.csv,company-own (technical)
2019-08-19,incident,incident (minor): Google OAuth 2.0 issue preventing some users from logging in Braze Dashboard,incidents.csv,company-own (operational)
2019-08-22,incident,incident (none): Increased REST API error rates in EU 01,incidents.csv,company-own (operational)
2019-08-23,incident,incident (minor): US-03 degraded Dashboard and Data Collection,incidents.csv,company-own (operational)
2019-08-23,incident,incident (minor): Slow message sending on US 01,incidents.csv,company-own (operational)
2019-08-31,incident,incident (major): Intermittent API issues on US clusters,incidents.csv,company-own (operational)
2019-09-05,incident,incident (maintenance): [Scheduled] AWS Direct Connect Maintenance - No Impact Expected,incidents.csv,company-own (operational)
2019-09-10,release,braze-react-native-sdk 1.16.0,sdk_releases.csv,company-own (technical)
2019-09-11,incident,incident (major): Data processing slowness on EU01,incidents.csv,company-own (operational)
2019-09-11,release,braze-xamarin-sdk 1.9.0,sdk_releases.csv,company-own (technical)
2019-09-12,release,braze-xamarin-sdk 1.10.0,sdk_releases.csv,company-own (technical)
2019-09-12,release,braze-react-native-sdk 1.17.0,sdk_releases.csv,company-own (technical)
2019-09-13,release,braze-xamarin-sdk 1.10.1,sdk_releases.csv,company-own (technical)
2019-09-13,release,braze-react-native-sdk 1.17.1,sdk_releases.csv,company-own (technical)
2019-09-17,incident,incident (major): Delayed SendGrid email sending,incidents.csv,company-own (operational)
2019-09-19,release,braze-xamarin-sdk 1.10.2,sdk_releases.csv,company-own (technical)
2019-09-19,release,braze-react-native-sdk 1.17.2,sdk_releases.csv,company-own (technical)
2019-09-23,release,braze-react-native-sdk 1.17.3,sdk_releases.csv,company-own (technical)
2019-10-02,incident,incident (minor): Processing delays on US 01,incidents.csv,company-own (operational)
2019-10-04,incident,"incident (minor): Processing delays on US 01, US 03, US 04",incidents.csv,company-own (operational)
2019-10-08,incident,incident (minor): US-03 SDK API Increased Error Rates,incidents.csv,company-own (operational)
2019-10-16,release,braze-react-native-sdk 1.17.4,sdk_releases.csv,company-own (technical)
2019-11-12,incident,incident (minor): Delayed data processing and message sending in EU 01,incidents.csv,company-own (operational)
2019-11-14,incident,incident (minor): Delayed data processing and message sending on US 01,incidents.csv,company-own (operational)
2019-11-18,incident,incident (major): Dashboard login problems,incidents.csv,company-own (operational)
2019-11-22,incident,incident (maintenance): [Scheduled] EU 01 database maintenance,incidents.csv,company-own (operational)
2019-12-06,release,braze-react-native-sdk 1.18.0,sdk_releases.csv,company-own (technical)
2020-01-02,incident,incident (maintenance): [Scheduled] EU 01 Database Maintenance,incidents.csv,company-own (operational)
2020-01-03,incident,incident (major): Dashboard Login Issues - US01,incidents.csv,company-own (operational)
2020-01-22,incident,incident (none): Minor REST API impact due to subprocessor performance issue,incidents.csv,company-own (operational)
2020-01-31,financial,FY2020 reported,financials_annual.csv,audited (SEC XBRL)
2020-02-03,incident,incident (critical): Connection issues on US data centers,incidents.csv,company-own (operational)
2020-02-06,release,braze-react-native-sdk 1.19.0,sdk_releases.csv,company-own (technical)
2020-02-24,incident,incident (minor): EU-01 Degraded Performance,incidents.csv,company-own (operational)
2020-02-29,incident,incident (minor): Processing delays on US 01,incidents.csv,company-own (operational)
2020-03-15,incident,incident (minor): Data Processing delays on US 01,incidents.csv,company-own (operational)
2020-03-17,release,braze-xamarin-sdk 1.11.0,sdk_releases.csv,company-own (technical)
2020-03-18,incident,incident (minor): Database performance issues on US01,incidents.csv,company-own (operational)
2020-03-24,incident,incident (minor): Degraded Data Processing on US03,incidents.csv,company-own (operational)
2020-04-22,release,braze-react-native-sdk 1.20.0,sdk_releases.csv,company-own (technical)
2020-05-04,incident,incident (minor): US 03 data processing delays,incidents.csv,company-own (operational)
2020-05-13,incident,incident (maintenance): [Scheduled] US 01 Database maintenance,incidents.csv,company-own (operational)
2020-06-04,incident,incident (minor): High error rates in US 01 and delayed processing,incidents.csv,company-own (operational)
2020-06-12,incident,incident (maintenance): [Scheduled] Braze.com Maintenance,incidents.csv,company-own (operational)
2020-06-12,incident,incident (minor): Data Processing Delays in 06 for a Subset of Customers,incidents.csv,company-own (operational)
2020-06-23,incident,incident (critical): US-01 Data Collection Outage,incidents.csv,company-own (operational)
2020-06-23,incident,incident (major): Snowflake Reporting and Sharing,incidents.csv,company-own (operational)
2020-06-30,release,public repo created: in-app-message-templates,repos.csv,company-own (technical)
2020-07-06,incident,incident (minor): Delayed data processing and message sending on US 03,incidents.csv,company-own (operational)
2020-07-07,release,braze-xamarin-sdk 1.12.0,sdk_releases.csv,company-own (technical)
2020-07-14,incident,incident (maintenance): [Scheduled] US-02 database maintenance,incidents.csv,company-own (operational)
2020-07-14,incident,incident (maintenance): [Scheduled] EU-01 database maintenance,incidents.csv,company-own (operational)
2020-07-14,incident,incident (major): US 03 increased error rates,incidents.csv,company-own (operational)
2020-07-20,release,braze-react-native-sdk 1.21.0,sdk_releases.csv,company-own (technical)
2020-07-22,incident,incident (maintenance): [Scheduled] US-03 database maintenance,incidents.csv,company-own (operational)
2020-07-23,incident,incident (maintenance): [Scheduled] US-01 and US-04 database maintenances,incidents.csv,company-own (operational)
2020-07-28,incident,incident (none): SendGrid email subprocessor is experiencing an incident,incidents.csv,company-own (operational)
2020-07-29,incident,"incident (minor): Delayed SDK data processing in US 01, US 03",incidents.csv,company-own (operational)
2020-07-31,financial,FY2021 as at 2020-07-31 reported,financials_annual.csv,audited (SEC XBRL)
2020-08-04,incident,incident (minor): Processing slowness on US01/US03,incidents.csv,company-own (operational)
2020-08-12,release,braze-react-native-sdk 1.22.0,sdk_releases.csv,company-own (technical)
2020-08-12,release,public repo created: braze-gtm-actions,repos.csv,company-own (technical)
2020-08-12,release,public repo created: braze-gtm-initialization,repos.csv,company-own (technical)
2020-08-13,release,braze-xamarin-sdk 1.14.0,sdk_releases.csv,company-own (technical)
2020-08-22,incident,incident (minor): Degraded data processing and message sending in US AWS Clusters,incidents.csv,company-own (operational)
2020-08-26,incident,incident (major): New Content Cards Not Being Served in EU 01,incidents.csv,company-own (operational)
2020-08-30,incident,incident (none): Investigating connectivity issues caused by Fastly issue,incidents.csv,company-own (operational)
2020-09-16,release,braze-react-native-sdk 1.23.0,sdk_releases.csv,company-own (technical)
2020-09-16,release,public repo created: braze-growth-shares-ios-demo-app,repos.csv,company-own (technical)
2020-09-17,release,braze-cordova-sdk 2.17.0,sdk_releases.csv,company-own (technical)
2020-09-17,release,braze-xamarin-sdk 1.15.0,sdk_releases.csv,company-own (technical)
2020-09-23,incident,incident (minor): Increased SDK API error rates in EU 01,incidents.csv,company-own (operational)
2020-09-24,release,public repo created: braze-unreal-sdk,repos.csv,company-own (technical)
2020-10-04,incident,incident (major): Database connectivity issues on US clusters,incidents.csv,company-own (operational)
2020-10-06,release,braze-cordova-sdk 2.18.0,sdk_releases.csv,company-own (technical)
2020-10-07,release,braze-react-native-sdk 1.24.0,sdk_releases.csv,company-own (technical)
2020-10-13,release,public repo created: braze-growth-shares-segment-export-s3,repos.csv,company-own (technical)
2020-10-19,incident,incident (maintenance): [Scheduled] US-02 Network Maintenance,incidents.csv,company-own (operational)
2020-10-19,release,public repo created: sidekiq,repos.csv,company-own (technical)
2020-10-20,incident,incident (maintenance): [Scheduled] US-06 Network Maintenance,incidents.csv,company-own (operational)
2020-10-20,incident,incident (minor): Dashboard Loading Issues on US01,incidents.csv,company-own (operational)
2020-10-21,incident,incident (maintenance): [Scheduled] EU-01 Network Maintenance,incidents.csv,company-own (operational)
2020-10-23,incident,incident (maintenance): [Scheduled] US-03 Network Maintenance,incidents.csv,company-own (operational)
2020-10-23,incident,incident (maintenance): [Scheduled] US-04 Network Maintenance,incidents.csv,company-own (operational)
2020-10-23,release,public repo created: braze-growth-shares-segment-export-merge,repos.csv,company-own (technical)
2020-10-26,incident,incident (maintenance): [Scheduled] North America Network Maintenance,incidents.csv,company-own (operational)
2020-10-26,release,public repo created: knapsack,repos.csv,company-own (technical)
2020-10-26,release,public repo created: rack-timeout,repos.csv,company-own (technical)
2020-10-27,incident,incident (maintenance): [Scheduled] US-01 Network Maintenance,incidents.csv,company-own (operational)
2020-10-28,release,braze-xamarin-sdk 1.17.0,sdk_releases.csv,company-own (technical)
2020-10-29,release,braze-react-native-sdk 1.25.0,sdk_releases.csv,company-own (technical)
2020-10-31,financial,FY2021 as at 2020-10-31 reported,financials_annual.csv,audited (SEC XBRL)
2020-11-07,incident,incident (minor): US-01 SDK API elevated error rates,incidents.csv,company-own (operational)
2020-11-09,incident,incident (maintenance): [Scheduled] US-01 Network Maintenance,incidents.csv,company-own (operational)
2020-11-09,incident,incident (maintenance): [Scheduled] EU-01 Network Maintenance,incidents.csv,company-own (operational)
2020-11-11,release,public repo created: mixboard,repos.csv,company-own (technical)
2020-11-12,incident,incident (maintenance): [Scheduled] US-01 Network Maintenance,incidents.csv,company-own (operational)
2020-11-12,incident,incident (maintenance): [Scheduled] US-02 Network Maintenance,incidents.csv,company-own (operational)
2020-11-12,incident,incident (maintenance): [Scheduled] US-03 Network Maintenance,incidents.csv,company-own (operational)
2020-11-12,incident,incident (maintenance): [Scheduled] US-04 Network Maintenance,incidents.csv,company-own (operational)
2020-11-12,incident,incident (maintenance): [Scheduled] US-06 Network Maintenance,incidents.csv,company-own (operational)
2020-11-12,incident,incident (maintenance): [Scheduled] EU-01 Network Maintenance,incidents.csv,company-own (operational)
2020-11-14,incident,incident (maintenance): [Scheduled] US Network Maintenance,incidents.csv,company-own (operational)
2020-11-20,release,public repo created: knockout-sortable,repos.csv,company-own (technical)
2020-12-02,incident,incident (maintenance): [Scheduled] US-02 Network Maintenance,incidents.csv,company-own (operational)
2020-12-02,incident,incident (maintenance): [Scheduled] EU-01 Network Maintenance,incidents.csv,company-own (operational)
2020-12-02,release,public repo created: svelte-ruby,repos.csv,company-own (technical)
2020-12-04,incident,incident (maintenance): [Scheduled] US 04 and 06 Network Maintenance,incidents.csv,company-own (operational)
2020-12-04,incident,"incident (minor): Degraded SDK Data Collection in US01, US03",incidents.csv,company-own (operational)
2020-12-08,incident,incident (maintenance): [Scheduled] US Network Maintenance,incidents.csv,company-own (operational)
2020-12-09,incident,incident (minor): US-03 SDK API increased error rates and data processing Delays,incidents.csv,company-own (operational)
2020-12-10,release,public repo created: automerge-action,repos.csv,company-own (technical)
2020-12-11,release,braze-cordova-sdk 2.20.0,sdk_releases.csv,company-own (technical)
2020-12-14,incident,incident (maintenance): [Scheduled] Braze.com Maintenance,incidents.csv,company-own (operational)
2020-12-18,incident,incident (none): Google Mail bounce reporting and handling,incidents.csv,company-own (operational)
2020-12-18,incident,incident (major): US-03 Active canvases archived,incidents.csv,company-own (operational)
2021-01-06,release,public repo created: SlickGrid,repos.csv,company-own (technical)
2021-01-08,release,braze-cordova-sdk 2.21.0,sdk_releases.csv,company-own (technical)
2021-01-12,incident,incident (major): Connectivity issues,incidents.csv,company-own (operational)
2021-01-21,incident,incident (minor): Processing Latency,incidents.csv,company-own (operational)
2021-01-22,release,braze-react-native-sdk 1.26.0,sdk_releases.csv,company-own (technical)
2021-01-31,financial,FY2021 reported,financials_annual.csv,audited (SEC XBRL)
2021-02-01,incident,incident (minor): Degraded Performance - Data Processing and Message Sending,incidents.csv,company-own (operational)
2021-02-09,release,public repo created: i18next-icu,repos.csv,company-own (technical)
2021-02-09,release,public repo created: braze-growth-shares-slackert,repos.csv,company-own (technical)
2021-02-11,release,public repo created: braze-ios-sdk,repos.csv,company-own (technical)
2021-02-14,release,public repo created: node-tree-sitter,repos.csv,company-own (technical)
2021-02-15,release,public repo created: tree-sitter-javascript,repos.csv,company-own (technical)
2021-02-18,incident,incident (major): US 01 connectivity errors,incidents.csv,company-own (operational)
2021-02-19,release,public repo created: braze-growth-shares-slackertpy,repos.csv,company-own (technical)
2021-02-20,release,public repo created: tree-sitter-html,repos.csv,company-own (technical)
2021-02-20,release,public repo created: tree-sitter-embedded-template,repos.csv,company-own (technical)
2021-02-23,incident,incident (critical): US 08 SDK API Errors,incidents.csv,company-own (operational)
2021-02-24,incident,incident (minor): Increased error rates in US 06,incidents.csv,company-own (operational)
2021-02-25,release,public repo created: braze-growth-shares-snowflake-to-braze,repos.csv,company-own (technical)
2021-02-26,incident,incident (major): SMS Processing Issues,incidents.csv,company-own (operational)
2021-02-26,release,braze-xamarin-sdk 1.18.0,sdk_releases.csv,company-own (technical)
2021-03-02,release,public repo created: rest-client,repos.csv,company-own (technical)
2021-03-04,incident,incident (maintenance): [Scheduled] US-02 Database Maintenance,incidents.csv,company-own (operational)
2021-03-05,incident,incident (maintenance): [Scheduled] The Braze.com website maintenance,incidents.csv,company-own (operational)
2021-03-05,release,braze-react-native-sdk 1.27.0,sdk_releases.csv,company-own (technical)
2021-03-05,release,public repo created: mongo-ruby-driver,repos.csv,company-own (technical)
2021-03-08,release,public repo created: redis-lock,repos.csv,company-own (technical)
