slug,file,title,description,section,url,fetched,bytes,body_bytes,words,headings,h2s,code_blocks,tables,links,evidence
docs__api__endpoints__data_objects__types__get_list_object_relationship_types,docs__api__endpoints__data_objects__types__get_list_object_relationship_types.md,List object relationship types,This article outlines details about the List object relationship types endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/data_objects/types/get_list_object_relationship_types,2026-09-02,4862,4457,568,12,7,6,96,1,company-own (technical)
docs__api__endpoints__data_objects__types__get_list_user_relationship_types,docs__api__endpoints__data_objects__types__get_list_user_relationship_types.md,List user relationship types,This article outlines details about the List user relationship types endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/data_objects/types/get_list_user_relationship_types,2026-09-02,4198,3801,490,12,7,6,77,1,company-own (technical)
docs__api__endpoints__data_objects__user_relationships__delete_user_relationship,docs__api__endpoints__data_objects__user_relationships__delete_user_relationship.md,Delete user relationship,This article outlines details about the Delete user relationship endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/data_objects/user_relationships/delete_user_relationship,2026-09-02,3747,3348,424,12,7,6,56,1,company-own (technical)
docs__api__endpoints__data_objects__user_relationships__get_list_user_relationships,docs__api__endpoints__data_objects__user_relationships__get_list_user_relationships.md,List user relationships,This article outlines details about the List user relationships endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/data_objects/user_relationships/get_list_user_relationships,2026-09-02,4795,4392,542,12,7,6,101,1,company-own (technical)
docs__api__endpoints__data_objects__user_relationships__patch_update_user_relationship,docs__api__endpoints__data_objects__user_relationships__patch_update_user_relationship.md,Update user relationship,This article outlines details about the Update user relationship endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/data_objects/user_relationships/patch_update_user_relationship,2026-09-02,4611,4200,494,12,7,6,84,1,company-own (technical)
docs__api__endpoints__data_objects__user_relationships__post_create_user_relationship,docs__api__endpoints__data_objects__user_relationships__post_create_user_relationship.md,Create user relationship,This article outlines details about the Create user relationship endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/data_objects/user_relationships/post_create_user_relationship,2026-09-02,4909,4500,552,12,7,6,90,1,company-own (technical)
docs__api__endpoints__data_objects__user_relationships__put_replace_user_relationship,docs__api__endpoints__data_objects__user_relationships__put_replace_user_relationship.md,Replace user relationship,This article outlines details about the Replace user relationship endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/data_objects/user_relationships/put_replace_user_relationship,2026-09-02,4841,4430,537,12,7,6,87,1,company-own (technical)
docs__api__endpoints__email,docs__api__endpoints__email.md,Email Lists & Addresses Endpoints,This landing page explains and lists the Braze email lists and addresses endpoints.,api/endpoints,https://www.braze.com/docs/api/endpoints/email,2026-09-02,770,457,65,1,0,0,0,0,company-own (technical)
docs__api__endpoints__email__get_list_hard_bounces,docs__api__endpoints__email__get_list_hard_bounces.md,Query hard bounced emails,This article outlines the details about the Query or list hard bounced email addresses Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/email/get_list_hard_bounces,2026-09-02,3049,2680,416,6,5,4,28,1,company-own (technical)
docs__api__endpoints__email__get_query_unsubscribed_email_addresses,docs__api__endpoints__email__get_query_unsubscribed_email_addresses.md,Query list of unsubscribed email addresses,This article outlines the details about the Retrieve list of or query email unsubscribes Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/email/get_query_unsubscribed_email_addresses,2026-09-02,3276,2854,434,6,5,4,32,1,company-own (technical)
docs__api__endpoints__email__post_blacklist,docs__api__endpoints__email__post_blacklist.md,Blacklist emails,This article outlines the details about the Blacklist emails Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/email/post_blacklist,2026-09-02,1648,1328,179,6,5,6,14,1,company-own (technical)
docs__api__endpoints__email__post_blocklist,docs__api__endpoints__email__post_blocklist.md,Blocklist emails,This article outlines the details about the Blocklist emails Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/email/post_blocklist,2026-09-02,1465,1145,153,6,5,6,14,1,company-own (technical)
docs__api__endpoints__email__post_email_subscription_status,docs__api__endpoints__email__post_email_subscription_status.md,Change email subscription status,This article outlines the details about the Change user's email subscription status Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/email/post_email_subscription_status,2026-09-02,2795,2404,328,7,6,6,18,1,company-own (technical)
docs__api__endpoints__email__post_remove_hard_bounces,docs__api__endpoints__email__post_remove_hard_bounces.md,Remove hard bounced emails,This article outlines details about the Remove hard bounced email addresses Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/email/post_remove_hard_bounces,2026-09-02,1514,1149,161,6,5,6,14,1,company-own (technical)
docs__api__endpoints__email__post_remove_spam,docs__api__endpoints__email__post_remove_spam.md,Remove email addresses from spam list,This article outlines details about the Remove email addresses from the spam list Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/email/post_remove_spam,2026-09-02,1516,1150,163,6,5,6,14,1,company-own (technical)
docs__api__endpoints__export,docs__api__endpoints__export.md,Export endpoints,"This reference article explains the Braze export endpoints, including prerequisites, what you can export, how data is delivered, and a full list.",api/endpoints,https://www.braze.com/docs/api/endpoints/export,2026-09-02,5417,5057,701,6,5,0,119,0,company-own (technical)
docs__api__endpoints__export__campaigns__get_campaign_analytics,docs__api__endpoints__export__campaigns__get_campaign_analytics.md,Export campaign analytics,This article outlines details about the Export campaign analytics Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/export/campaigns/get_campaign_analytics,2026-09-02,11049,10676,1453,10,6,6,22,1,company-own (technical)
docs__api__endpoints__export__campaigns__get_campaign_details,docs__api__endpoints__export__campaigns__get_campaign_details.md,Export campaign details,This article outlines details about the Export campaign details Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/export/campaigns/get_campaign_details,2026-09-02,11509,11144,1608,12,5,38,54,1,company-own (technical)
docs__api__endpoints__export__campaigns__get_campaigns,docs__api__endpoints__export__campaigns__get_campaigns.md,Export campaigns list,This article outlines details about the Export campaigns list Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/export/campaigns/get_campaigns,2026-09-02,2565,2218,328,6,5,4,24,1,company-own (technical)
docs__api__endpoints__export__campaigns__get_send_analytics,docs__api__endpoints__export__campaigns__get_send_analytics.md,Export send analytics,This article outlines details about the Export send analytics Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/export/campaigns/get_send_analytics,2026-09-02,4379,4022,548,6,5,4,24,1,company-own (technical)
docs__api__endpoints__export__canvas__get_canvas_analytics,docs__api__endpoints__export__canvas__get_canvas_analytics.md,Export Canvas data series analytics,This article outlines details about the Export Canvas data series analytics Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/export/canvas/get_canvas_analytics,2026-09-02,4785,4402,617,6,5,4,36,1,company-own (technical)
docs__api__endpoints__export__canvas__get_canvas_analytics_summary,docs__api__endpoints__export__canvas__get_canvas_analytics_summary.md,Export Canvas data summary analytics,This article describes the Export Canvas data summary analytics Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/export/canvas/get_canvas_analytics_summary,2026-09-02,8214,7826,1061,8,6,4,51,1,company-own (technical)
docs__api__endpoints__export__canvas__get_canvas_details,docs__api__endpoints__export__canvas__get_canvas_details.md,Export Canvas details,This article outlines details about the Export Canvas details Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/export/canvas/get_canvas_details,2026-09-02,7624,7273,1025,7,5,6,22,1,company-own (technical)
docs__api__endpoints__export__canvas__get_canvases,docs__api__endpoints__export__canvas__get_canvases.md,Export Canvas list,This article outlines details about the Export Canvas list Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/export/canvas/get_canvases,2026-09-02,2587,2254,335,6,5,4,24,1,company-own (technical)
docs__api__endpoints__export__custom_attributes__get_custom_attributes,docs__api__endpoints__export__custom_attributes__get_custom_attributes.md,Export custom attributes,This article outlines details about the Export custom attributes Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/export/custom_attributes/get_custom_attributes,2026-09-02,2662,2277,314,9,5,6,14,2,company-own (technical)
docs__api__endpoints__export__custom_events__get_custom_events,docs__api__endpoints__export__custom_events__get_custom_events.md,Export custom events list,This article outlines details about the Export custom events list Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/export/custom_events/get_custom_events,2026-09-02,1862,1491,222,7,5,4,12,1,company-own (technical)
docs__api__endpoints__export__custom_events__get_custom_events_analytics,docs__api__endpoints__export__custom_events__get_custom_events_analytics.md,Export custom events analytics,This article outlines details about the Export custom events analytics Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/export/custom_events/get_custom_events_analytics,2026-09-02,2703,2302,334,7,5,4,32,1,company-own (technical)
docs__api__endpoints__export__custom_events__get_custom_events_data,docs__api__endpoints__export__custom_events__get_custom_events_data.md,Export custom events,This article outlines details about the Export custom events Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/export/custom_events/get_custom_events_data,2026-09-02,2510,2139,302,9,5,6,14,2,company-own (technical)
docs__api__endpoints__export__kpi__get_kpi_daily_new_users_date,docs__api__endpoints__export__kpi__get_kpi_daily_new_users_date.md,Export daily new users by date,This article outlines details about the Export daily new users Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/export/kpi/get_kpi_daily_new_users_date,2026-09-02,1960,1585,233,6,5,4,20,1,company-own (technical)
docs__api__endpoints__export__kpi__get_kpi_dau_date,docs__api__endpoints__export__kpi__get_kpi_dau_date.md,Export daily active users by date,This article outlines details about the Export daily active users Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/export/kpi/get_kpi_dau_date,2026-09-02,1934,1577,234,6,5,4,20,1,company-own (technical)
docs__api__endpoints__export__kpi__get_kpi_mau_30_days,docs__api__endpoints__export__kpi__get_kpi_mau_30_days.md,Export monthly active users for last 30 days,This article outlines details about the Export monthly active users Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/export/kpi/get_kpi_mau_30_days,2026-09-02,1982,1606,239,6,5,4,20,1,company-own (technical)
docs__api__endpoints__export__kpi__get_kpi_uninstalls_date,docs__api__endpoints__export__kpi__get_kpi_uninstalls_date.md,Export KPIs for daily app uninstalls by date,This article outlines details about the Export daily app uninstalls by date Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/export/kpi/get_kpi_uninstalls_date,2026-09-02,1991,1599,232,6,5,4,20,1,company-own (technical)
docs__api__endpoints__export__purchases__get_list_product_id,docs__api__endpoints__export__purchases__get_list_product_id.md,Export product IDs,This article outlines details about the Export product IDs Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/export/purchases/get_list_product_id,2026-09-02,1388,1035,145,6,5,4,12,1,company-own (technical)
docs__api__endpoints__export__purchases__get_number_of_purchases,docs__api__endpoints__export__purchases__get_number_of_purchases.md,Export number of purchases,This article outlines details about the Export number of purchases Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/export/purchases/get_number_of_purchases,2026-09-02,2242,1865,268,6,5,4,28,1,company-own (technical)
docs__api__endpoints__export__purchases__get_revenue_series,docs__api__endpoints__export__purchases__get_revenue_series.md,Export revenue data by time,This article outlines details about the Export revenue data Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/export/purchases/get_revenue_series,2026-09-02,2195,1834,266,6,5,4,28,1,company-own (technical)
docs__api__endpoints__export__segments__get_segment,docs__api__endpoints__export__segments__get_segment.md,Export segment list,This article outlines details about Export the segments list Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/export/segments/get_segment,2026-09-02,2128,1790,260,6,5,4,16,1,company-own (technical)
docs__api__endpoints__export__segments__get_segment_analytics,docs__api__endpoints__export__segments__get_segment_analytics.md,Export segment analytics,This article outlines details about the Export segment analytics Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/export/segments/get_segment_analytics,2026-09-02,2133,1766,262,6,5,4,20,1,company-own (technical)
docs__api__endpoints__export__segments__get_segment_details,docs__api__endpoints__export__segments__get_segment_details.md,Export segment details,This article outlines details about the Export segment details Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/export/segments/get_segment_details,2026-09-02,1968,1609,228,6,5,4,12,1,company-own (technical)
docs__api__endpoints__export__segments__post_cancel_export,docs__api__endpoints__export__segments__post_cancel_export.md,Cancel exports by segment,This article outlines details about Cancel exports by segment Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/export/segments/post_cancel_export,2026-09-02,1465,1106,146,6,5,6,14,1,company-own (technical)
docs__api__endpoints__export__sessions__get_sessions_analytics,docs__api__endpoints__export__sessions__get_sessions_analytics.md,Export app session by time,This article outlines details about the Export app sessions analytics by time Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/export/sessions/get_sessions_analytics,2026-09-02,2311,1927,279,6,5,4,28,1,company-own (technical)
docs__api__endpoints__export__user_data__post_users_global_control_group,docs__api__endpoints__export__user_data__post_users_global_control_group.md,Export user profile by Global Control Group,This article outlines details about the Export users in Global Control Groups Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/export/user_data/post_users_global_control_group,2026-09-02,14705,14284,2009,10,8,12,137,1,company-own (technical)
docs__api__endpoints__export__user_data__post_users_identifier,docs__api__endpoints__export__user_data__post_users_identifier.md,Export user profile by identifier,This article outlines details about the Export users by identifier Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/export/user_data/post_users_identifier,2026-09-02,17269,16889,2230,9,7,12,142,1,company-own (technical)
